title,category,volatility,minBet,lookFor,stopPlaying,playWhen,stopWhen
"Cai Fu Long","accumulation","medium","$0.88","Must show","After coins turn wild on final spin | After hold & spin feature completes (if 6 coins triggered it)","**BONUS BOOST Bets** (labeled on bet pad):  | Coins | Requirement | Action | |-------|-------------|--------| | 1 | — | ❌ Never play | | 2 | At least 1 coin in reels 1–3 | ✅ Play | | 3+ | — | ✅ Always play |  **NON-BONUS BOOST Bets** (labeled on bet pad):  | Coins | Requirement | Action | |-------|-------------|--------| | 1 | — | ❌ Never play | | 2 | 2 coins in reels 1–3, **different reels** | ✅ Play | | 3 | At least 1 coin in reels 1–3 | ✅ Play | | 4+ | — | ✅ Always play |  ---","- Coins turn wild on final spin - Hold & spin feature completes (if 6 coins triggered it)  ---"
"Captain Riches / Tiki Fortune / Mine Blast","accumulation","medium","$0.88","Active wild on reel 2 or 3 (glowing gold border with coins above showing spins remaining) | Active wild on reel 4 only if 2x or 3x multiplier coins are above","After wild spins complete (coins above deplete to 0)","**Active Wild in Reel 2 or 3:** - Glowing gold border around reel ✓ - Coins visible above showing spins remaining ✓ - ❌ If gold border but NO coins above → Do NOT play  **Active Wild in Reel 4:** - Only if multiplier coins (2x or 3x) visible above that reel - Regular coins in reel 4 = Not worth it  | Reel | Active Wild | Multiplier Coins | Action | |------|-------------|------------------|--------| | 2 | ✅ Yes | Any | ✅ **Play** | | 3 | ✅ Yes | Any | ✅ **Play** | | 4 | ✅ Yes | 2x or 3x | ✅ **Play** | | 4 | ✅ Yes | None | ❌ Skip | | Any | Gold border only | — | ❌ Skip |  ---","- Wild spins complete (coins above deplete to 0) - No active wilds remaining  ---"
"CASH FALLS","accumulation","medium","$0.88","Reel 3, 4, or 5 is 1 coin away from full | Both reels 1 and 2 are 1 coin away | Advanced: total value of coins in 1-away reels is 6x+ bet (look for glowing blue outlines on bet pad)","After reel fills and awards prizes | Spin counter reaches 0","**Option A — Simple (Recommended):** - Reel <strong>3</strong>, <strong>4</strong>, or <strong>5</strong> is <strong>1</strong> coin away from full  **Option B — Combined Reels 1+2:** - Reel <strong>1</strong> is <strong>1</strong> coin away **AND** - Reel <strong>2</strong> is <strong>1</strong> coin away  **Option C — Advanced (Value-Based):** - Add up all coin values in reels that are <strong>1</strong> coin away - Total ≥ <strong>6x</strong> bet size → Play  **Option D — Aggressive (2 Coins Away):** - Total coin value ≥ <strong>25x</strong> bet size → Play - Only for reels <strong>2</strong> coins away  **How to Check Quickly:** - Look at bet pad for **glowing blue outlines** - Blue outline = that bet level has a reel 1 coin away  ---","- Reel fills and awards prizes - Spin counter reaches <strong>0</strong> - All playable reels expire  ---"
"COIN COMBO","counter-meter","high","$0.88","2 wilds in reel 3 (middle) | 1 wild in reel 3 + 1 wild in reel 4 | 2 wilds each in reels 4 and 5 (exclude top row wilds - they leave next spin)","After all wilds move off screen (exit from top row)","⚠️ **CRITICAL:** Do NOT count wilds on the top row—they leave next spin.  **Option A — Reel 3 (Middle):** - <strong>2</strong> wilds in reel 3 (middle reel)  **Option B — Reels 3 + 4:** - <strong>1</strong> wild in reel 3 (middle) - <strong>1</strong> wild in reel 4  **Option C — Reels 4 + 5:** - <strong>2</strong> wilds in reel 4 - <strong>2</strong> wilds in reel 5  **Wild Position Check:** | Reel | Row | Counts? | |------|-----|---------| | Reel 3 | Top | ❌ No (exits next spin) | | Reel 3 | Middle/Bottom | ✅ Yes | | Reel 4 | Top | ❌ No (exits next spin) | | Reel 4 | Middle/Bottom | ✅ Yes | | Reel 5 | Top | ❌ No (exits next spin) | | Reel 5 | Middle/Bottom | ✅ Yes |  ---","- All wilds move off screen (exit from top) - Typically <strong>1–3</strong> spins per play  ---"
"Colossal Titans","counter-meter","high","$0.88","Active multipliers totaling 12x+ (count only those with spins remaining) | Meters ~75% full","When all active multipliers deplete (no spins remaining)","<strong>Primary Requirement:</strong> - Active multipliers total ≥ <strong>12x</strong> - Only count multipliers with <strong>1+</strong> spins remaining  **Aggressive Play:** - Total slightly below 12x BUT - Meters ~<strong>75%</strong> full (will activate soon)  | Active Multiplier Total | Action | |------------------------|--------| | Below 12x (no near-full meters) | ❌ Walk away | | Below 12x (75%+ meters filling) | ⚠️ Playable | | 12x+ | ✅ **Play** |  ---","- All active multipliers deplete (no spins remaining) - Total active drops below <strong>12x</strong>  ---"
"Crush Conquest / Crush Dynasty","counter-meter","high","$0.88","CONQUEST: Pink boulder in front or within first 3 positions of queue (left or right) | DYNASTY: White boulder in front or within first 3 positions of queue (left or right)","After premium boulder breaks and reveals prize","**Crush Conquest:** - **Pink** boulder in front OR within first <strong>3</strong> positions of queue (left or right)  **Crush Dynasty:** - **White** boulder in front OR within first <strong>3</strong> positions of queue (left or right)  | Position | Action | |----------|--------| | In front (being crushed) | ✅ **Play** | | Position 1-3 in queue | ✅ **Play** | | Position 4-5 in queue | ❌ Too far back | | No premium visible | ❌ Walk away |  ---","- Premium boulder breaks and reveals prize  ---"
"CYBER DRAGON","cycle-based","high","$0.88","7 of 8 segments filled around yin-yang symbol (flames visible when 5+ filled) | 6 of 8 segments is playable but higher variance","After bonus wheel spins and segments reset to 0","<strong>Primary Requirement:</strong> - Segments filled: <strong>7</strong> of 8  **Aggressive Play (Higher Variance):** - Segments filled: <strong>6</strong> of 8 - Only if comfortable with high volatility  **How to Check (Free):** - Tap menu icon (lower left) - Use up/down arrows to cycle bet levels - No ticket required  ---","- Bonus wheel spins - Segments reset to <strong>0</strong>  ---"
"Dancing Drums","multi-state","high","$0.88","3+ fu bat symbols active above the reels","After bonus feature triggers and completes (fu bats reset)","<strong>Primary Requirement:</strong> - Fu bats active: ≥ <strong>3</strong> symbols lit above reels  <strong>Optimal Conditions:</strong> - Fu bats distributed across **different reels** (increases coverage) - More fu bats = better odds of quick trigger  <strong>Aggressive Play (Higher Variance):</strong> - <strong>2</strong> fu bats in favorable positions - Only if comfortable with extended play  ⚠️ **IMPORTANT:** Fu bat activations are typically independent of bet size. Verify on specific version.  ---","- Bonus feature triggers and completes - Fu bats reset after feature - Bankroll loss exceeds predetermined limit - 50+ spins without additional fu bat activations  ---"
"Dawn of Ra / Sun of Ra","counter-meter","high","$0.88","Yellow pyramid indicators lit below reel 3, 4, or 5 (shows persistent pyramid stack with spins remaining)","After all pyramid indicator spins deplete (all indicators empty)","<strong>Primary Requirement:</strong> - Yellow pyramid indicators lit below reel 3, 4, or 5  **How to Check:** - Look at indicator lights BELOW reels 3, 4, and 5 - Filled yellow pyramids = Active persistent stack - More filled = More spins remaining  | Indicator State | Action | |-----------------|--------| | 1+ pyramids filled (reel 3, 4, or 5) | ✅ **Play** | | All indicators empty | ❌ Walk away |  ---","- All pyramid indicator spins deplete - All indicators become empty  ---"
"Demo Guide — How SlotStrat Works","must-hit-by","low","$0.25","Minor jackpot at 90%+ of its Must-Hit-By ceiling (e.g. $180+ out of $200 max) | Major jackpot at 90%+ of ceiling (e.g. $900+ out of $1,000 max) | Use the bet-level menu to check all denominations — each has its own meter | Prioritize machines where BOTH Minor and Major are elevated","After ANY must-hit-by jackpot triggers and the meter resets to its seed value | After 60 spins without a jackpot hit (session stop-loss) | If your bankroll drops below 30x your current bet level","<strong>Meter Requirements:</strong> - Minor jackpot at **90%+** of Must-Hit-By ceiling - Major jackpot at **90%+** of Must-Hit-By ceiling  <strong>Denomination Check:</strong> - Open the bet-level menu to cycle through all available denominations - Each denomination has its **own independent meter** - A $0.25 denom may be at 95% while $1.00 is only at 60%  <strong>Best-Case Setup:</strong> - Both Minor AND Major elevated above 90% - Lowest available denomination (reduces cost per spin)  ---","- Must-Hit-By jackpot triggers and meter resets to seed value - **60 spins** without a jackpot hit (session stop-loss) - Bankroll drops below **30x** your current bet - You feel frustrated, rushed, or impulsive — walk away every time  ---"
"DIAMOND COLLECTOR","accumulation","medium","$0.88","12 or more diamonds collected (check bet pad counter for each bet level)","After free spins bonus triggers (diamonds reset to zero)","<strong>Primary Requirement:</strong> - Diamonds collected: ≥ <strong>12</strong>  **How to Check:** - Look **directly on bet pad** - Shows diamond count for each bet level  ⚠️ **IMPORTANT:** Check all denominations—different bet levels have different counts.  ---","- Free spins bonus triggers - Diamonds reset to <strong>0</strong>  ---"
"DIAMOND TIDE JUNGLE","counter-meter","high","$0.88","2+ yellow wilds in same row (adjacent or 1 gap apart) | 6+ yellow wilds total | Exclude reel 1 wilds and blue wilds (both leave next spin) | Check right of reel 5 for upcoming wilds marked","After all yellow wilds shift off screen (left side)","**Option A — Row Setup:** - <strong>2+</strong> yellow wilds in SAME row - Adjacent OR with <strong>1</strong> gap between them  **Option B — High Wild Count:** - <strong>6+</strong> yellow wilds total (any position)  **Counting Rules:** | Wild Location | Count It? | |---------------|-----------| | Reels 2-5 | ✅ Yes | | Reel 1 | ❌ No (leaves next spin) | | Blue wilds | ❌ No (disappear next spin) | | Right of reel 5 (""W"") | ✅ Yes (upcoming) |  ---","- All yellow wilds shift off screen (left side)  ---"
"DIAMONDS & DEVILS / JADE MONKEY","accumulation","medium","$0.88","8+ free games with 2 diamonds | 16+ free games with 1 diamond | 24+ free games (any diamond count) | 10x+ credit value with 2 diamonds (yellow numbers = built up, silver = reset)","After collecting prize | When devil/jade monkey resets the reel (no longer +EV)","**Free Games Thresholds:** | Diamonds | Free Games Required | Action | |----------|---------------------|--------| | 2 | <strong>8+</strong> | ✅ **Play** | | 1 | <strong>16+</strong> | ✅ **Play** | | 0 | <strong>24+</strong> | ✅ **Play** (always) |  **Credit Value Thresholds:** | Diamonds | Credit Value Required | Action | |----------|----------------------|--------| | 2 | <strong>10x+</strong> bet | ✅ **Play** |  **How to Identify Built-Up vs Reset:** | Number Color | Meaning | |--------------|---------| | Yellow | Built up (has value) | | Silver | At reset value (minimal) |  ---","- Prize collected (3 diamonds triggered) - Devil/Monkey resets the reel - No longer +EV  ---"
"DICE SEEKER","cycle-based","medium","$0.88","Large character (2x3 size) with 3 or fewer HP remaining | Two large characters with 5 or fewer HP each","After large character is defeated and prize pick completes","**Option A — Single Large Character:** - Large (2x3) character with ≤ <strong>3</strong> HP remaining  **Option B — Two Large Characters:** - Two large (2x3) characters each with ≤ <strong>5</strong> HP remaining  | Large Character HP | Single | Two Characters | |--------------------|--------|----------------| | ≤ 3 HP | ✅ **Play** | ✅ **Play** | | 4–5 HP | ❌ Skip | ✅ **Play** (if both) | | 6+ HP | ❌ Skip | ❌ Skip |  **How to Check (Free):** - Tap menu icon (lower left) - Use up/down arrows to cycle bet levels - No ticket required  ---","- Large character defeated - Prize pick completed - Character HP increases or resets  ---"
"DRAGON LIGHTS","must-hit-by","low","$0.88","Mini (purple) at 25+ or Minor (blue) at 37+ or Major (yellow) at 56+ or Mega (red) at 86+ | Check bet pad to see meters at all bet levels","After free games progressive triggers","| Progressive | Color | Free Games | Action | |-------------|-------|------------|--------| | Mini | 🟣 Purple | ≥ <strong>25</strong> | ✅ Play | | Minor | 🔵 Blue | ≥ <strong>37</strong> | ✅ Play | | Major | 🟡 Yellow | ≥ <strong>56</strong> | ✅ Play (volatile) | | Mega | 🔴 Red | ≥ <strong>86</strong> | ⚠️ Never chase directly |  **How to Check:** - Look **directly on bet pad** - Shows meters for all bet levels  ---","- Free games progressive triggers - Loss limit reached (set BEFORE playing) - ⚠️ **IMPORTANT:** Walking away at loss limit is correct—chasing deeper is how APs get destroyed  ---"
"Dragon Unleashed","counter-meter","low","$0.88","2+ orbs in top row (reels 1-4 only) | 1 orb in top row + 2+ orbs in middle row | Aggressive: any orb in top row (unless 4-stack with bottom orb just left screen)","After hold & spin triggers (6 orbs) or all orbs shift off bottom of reels","**Option A — Basic (Recommended):** - <strong>2+</strong> orbs in top row (reels 1–4)  **Option B — Mixed Position:** - <strong>1</strong> orb in top row **AND** - <strong>2+</strong> orbs in middle row  **Option C — Aggressive (Higher RTP):** - Any orb in top row - ❌ **EXCEPT:** 4-stack where bottom orb just exited (no more orbs coming from above)  **Orb Position Check:** | Row | Orb Count | Action | |-----|-----------|--------| | Top | 2+ | ✅ **Play** | | Top + Middle | 1 + 2+ | ✅ **Play** | | Middle only | Any | ❌ Walk away | | Bottom only | Any | ❌ Walk away |  ⚠️ **NOTE:** Orbs only appear on reels <strong>1–4</strong> (not reel 5).  ---","- Hold & spin triggers (<strong>6</strong> orbs landed) - All orbs shift off bottom of reels  ---"
"DRAGON SPHERE","counter-meter","high","$0.88","Wild spheres in reels 2-3 (not bottom row) | Reel 1 spheres in top 2 rows or above reel | Reel 4 spheres in top row or above reel | Check above reels for incoming spheres (switch bet levels to distinguish real spheres from expanded wilds)","After all wild spheres move off bottom of screen","**Option A — Reels 2-3 (Most Valuable):** - Wild spheres in reels 2 or 3 - NOT on bottom row  **Option B — Reel 1:** - Wild sphere above reel 1, OR - Wild sphere in top row, OR - Wild sphere in second-from-top row  **Option C — Reel 4:** - Wild sphere above reel 4, OR - Wild sphere in top row only  | Reel | Valid Positions | Action | |------|-----------------|--------| | Reel 1 | Above reel, top 2 rows | ✅ **Play** | | Reel 2 | Anywhere except bottom | ✅ **Play** | | Reel 3 | Anywhere except bottom | ✅ **Play** | | Reel 4 | Above reel, top row only | ✅ **Play** | | Any reel | Bottom row | ❌ Skip |  ---","- All wild spheres move off bottom of screen  ---"
"Egyptian Gems: Rise of Pharaoh / Rise of Queen","cycle-based","medium","$0.88","Yellow orb on reels 2-6 or in bottom queue position | 2+ yellow orbs anywhere in queue | 4+ red orbs | 6+ orbs any color (for free games bonus chance)","All orbs have moved off reel 1 | Free games bonus completes","⚠️ **CRITICAL:** Do NOT count orbs in reel 1—they exit next spin.  **Option A — Yellow Orbs (On Reels):** - Any yellow orb on reels <strong>2–6</strong> - OR yellow orb in **bottom position** of queue  **Option B — Yellow Orbs (Queue):** - <strong>2+</strong> yellow orbs anywhere in queue  **Option C — Red Orbs:** - <strong>4+</strong> red orbs total  **Option D — Volume Play:** - <strong>6+</strong> orbs of **any color** - Value: Increased free games bonus chance (not credit prizes)  | Orbs Present | Action | |--------------|--------| | Yellow on reels 2–6 or bottom queue | ✅ **Play** | | 2+ yellow anywhere in queue | ✅ **Play** | | 4+ red orbs | ✅ **Play** | | 6+ orbs any color | ✅ **Play** (bonus chance) |  **How to Check (Free):** - Tap menu icon (lower left) - Use up/down arrows to cycle bet levels - No ticket required  ---","- All orbs have moved off reel 1 - Free games bonus completes  ---"
"EGYPTIAN STARS","counter-meter","high","$0.88","2+ blue star frames anywhere except top row (top row frames leave next spin)","All star frames have moved off the top row (watch for frame bursts from woman","<strong>Primary Requirement:</strong> - <strong>2+</strong> blue star frames anywhere on reels - NOT in top row (those leave next spin)  | Frame Position | Action | |----------------|--------| | Top row | ❌ Skip (leaves next spin) | | Rows 2-4 (any reel) | ✅ **Play** |  **Note:** Reel position (1-5) doesn't matter here—frames award prizes, not wilds.  ---","- All star frames move off the top row - Watch for frame bursts from woman's hand star  ---"
"Elephant King","counter-meter","high","$0.88","Free games, blue credit prizes, or green prizes 50x+ bet in reel 2 or 4 (play 1 spin) | Same prizes in both reels 3 and 5 (play 2 spins) | Ignore reel 1 (shifts off next spin)","After target prize shifts past reel 1","**One Spin Play (Prize in Reel 2 or 4):** - Free games symbol in reel <strong>2</strong> or <strong>4</strong> - Blue credit prize in reel <strong>2</strong> or <strong>4</strong> - Green credit prize ≥ <strong>50x</strong> bet in reel <strong>2</strong> or <strong>4</strong>  **Two Spin Play (Prizes in Reels 3 AND 5):** - Any of above prizes in **both** reel <strong>3</strong> AND reel <strong>5</strong> - Investment: <strong>2</strong> spins - Benefit: Two chances to win on second spin  **Prize Value Quick Reference:** | Prize Type | Color | Play? | |------------|-------|-------| | Free Games | — | ✅ Always | | Blue Credits | 🔵 Blue | ✅ Always | | Green Credits ≥50x | 🟢 Green | ✅ Yes | | Green Credits <50x | 🟢 Green | ❌ No | | Yellow Credits | 🟡 Yellow | ❌ No |  ---","- Target prize shifts past reel 1 - Elephant symbol lands and awards prize - Investment spins completed without win  ---"
"EPIC LION / SACRED DEER","counter-meter","high","$0.88","10,000+ ways with gold-filled chevrons on full-height reels (thick flashing line on indicator) | Any of first 3 reels at full height (8 symbols) with gold-filled chevron above | First 3 reels all at 7 symbols tall","After reels shrink and ways drop below 10,000","**Option A — High Ways Count:** - <strong>10,000+</strong> ways displayed - **AND** chevrons filled on full-height reels  **Option B — Full Height Reel (1-3):** - Any of first 3 reels at full height (<strong>8</strong> symbols) - **AND** chevron above is GOLD-filled  **Option C — Tall Reels Setup:** - First 3 reels ALL at <strong>7</strong> symbols tall  **How to Verify:** | Indicator | Location | |-----------|----------| | Ways count | Below middle reel | | Thick flashing line | 10,000+ ways | | Gold-filled chevron | Above pyramid, above reel |  ---","- Reels shrink and ways drop below <strong>10,000</strong>  ---"
"Extreme Wild: Lanterns / Stars","accumulation","medium","$0.88","Active wild on reel 2 or 3 (glowing border + coins above showing spins left) | Reel 4 wild with 2 spins remaining + 1 coin in reel 2 or 3 | Aggressive: 1 coin above both reels 2 and 3 (ignore built-up lanterns/stars - they","After wild spins deplete (coins above reels empty)","**Basic Plays:**  **Option A — Active Wilds (Reels 2-3):** - Active wild on reel 2 or 3 - Glowing border + coins above showing spins left  **Option B — Reel 4 Setup:** - Active wild on reel 4 with <strong>2</strong> spins remaining - AND <strong>1</strong> coin in reel 2 or 3 - Play 1 spin to see if second coin lands (if not, stop)  **Aggressive Play:**  **Option C — Coin Setup (Slightly +EV):** - <strong>1</strong> coin above BOTH reels 2 AND 3 - Conservative: <strong>1</strong> coin above all 3 reels  | Setup | Risk Level | Action | |-------|------------|--------| | Active wild reel 2 or 3 | Low | ✅ **Play** | | Reel 4 wild (2 spins) + coin in 2/3 | Medium | ✅ **1 spin** | | 1 coin above reels 2 AND 3 | Higher | ✅ **Play** (aggressive) | | 1 coin above all 3 reels | Medium | ✅ **Play** (conservative) |  ---","- Wild spins deplete (coins above reels empty) - Reel 4 test spin fails to land second coin  ---"
"Fairy Hollow","counter-meter","high","$0.88","2+ wild butterflies anywhere with counters showing 2 or 3 (check lower right of symbol) | Ignore wilds with counter of 1 (they disappear next spin)","All wild butterfly counters reach 0 and disappear","<strong>Primary Requirement:</strong> - <strong>2+</strong> active wilds anywhere - Counter showing <strong>2</strong> or <strong>3</strong> (NOT 1)  | Wild Counter | Include? | |--------------|----------| | 3 | ✅ Count it | | 2 | ✅ Count it | | 1 | ❌ Don't count (disappears next spin) |  ---","- All wild butterfly counters reach 0 - All wilds disappear  ---"
"FAT FORTUNES","counter-meter","high","$0.88","2 fish above the reels | 3+ persistent fish on reels (shiny/gleaming animation indicates persistence - ignore bottom row and non-shiny fish)","After bonus triggers (6 fish landed)","**Option A — Fish Above Reels:** - <strong>2</strong> fish symbols above the reels - (Always excellent play—fish often come in stacks)  **Option B — Persistent Fish Count:** - <strong>3+</strong> persistent fish on reels (shiny animation) - Do NOT count: bottom row fish OR non-shiny fish  | Setup | Action | |-------|--------| | 2 fish above reels | ✅ **Play** (excellent) | | 3+ shiny fish (not bottom row) | ✅ **Play** | | Only non-shiny fish | ❌ Skip | | Only bottom row fish | ❌ Skip |  ---","- Bonus triggers (6 fish landed)  ---"
"FORTUNE FINDERS","cycle-based","medium","$0.88","2+ scatter symbols anywhere EXCEPT bottom row (white pearls in Mermaid","After free games bonus triggers | All scatters fall off bottom row","<strong>Primary Requirement:</strong> - <strong>2+</strong> scatter symbols anywhere on reels - NOT on bottom row (those leave next spin)  | Scatter Position | Action | |------------------|--------| | Top/Middle rows | ✅ **Play** | | Bottom row only | ❌ Skip (leaves next spin) |  ---","- Free games bonus triggers (3 scatters landed) - All scatters fall off bottom row  ---"
"Fortune Owl","must-hit-by","low","$0.88","Mini (purple) at 24+ free games | Minor (green) at 32+ | Major (red) at 52+ | NOT a must-hit-by - requires 1000+ unit bankroll","After free games bonus triggers","| Meter | Color | Free Games Threshold | |-------|-------|---------------------| | Mini | Purple | ≥ <strong>24</strong> | | Minor | Green | ≥ <strong>32</strong> | | Major | Red | ≥ <strong>52</strong> |  **How to Check:** - Look directly on bet pad - Shows free games count for all bet levels  ---","- Free games bonus triggers - Meter resets to <strong>5</strong> - You hit your loss limit (set one before playing)  ---"
